,Latitude,Longitude,Month,Hour,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,Fall,Spring,Summer,Winter
152,47.11,-122.57,2,15,65.03906,14.14818,0.6231269958531356,9,10.0,1017.0,32,0,0,0,1
153,47.11,-122.57,2,12,55.37109,18.12111,0.7637081552634819,9,10.0,1019.0,32,0,0,0,1
154,47.11,-122.57,2,13,50.8667,19.96658,1.6227035337129934,6,10.0,1018.6,32,0,0,0,1
155,47.11,-122.57,2,14,49.823,20.60608,1.130227228037361,7,10.0,1018.0,42,0,0,0,1
156,47.11,-122.57,2,15,38.95874,24.58153,1.4812044609028758,8,10.0,1017.0,40,0,0,0,1
157,47.11,-122.57,2,13,62.62207,18.06824,1.8176773471343712,13,10.0,1011.9,12,0,0,0,1
158,47.11,-122.57,2,14,57.72095,18.76564,1.4403255291086758,11,10.0,1011.6,12,0,0,0,1
159,47.11,-122.57,2,12,59.83276,12.32788,1.3533139368002551,0,10.0,1015.0,18,0,0,0,1
160,47.11,-122.57,2,13,51.67236,14.84558,1.0348592367465883,0,10.0,1014.6,20,0,0,0,1
161,47.11,-122.57,2,14,21.44165,30.37979,2.7047848757252413,0,10.0,1014.3,23,0,0,0,1
162,47.11,-122.57,2,14,29.46167,23.81363,1.1187971958272074,3,10.0,1013.9,722,0,0,0,1
163,47.11,-122.57,2,15,32.42798,23.19679,2.213515599534944,3,10.0,1013.6,722,0,0,0,1
164,47.11,-122.57,2,11,26.54419,24.48837,1.3533139368002551,0,10.0,1019.3,722,0,0,0,1
165,47.11,-122.57,2,12,14.19067,31.02936,2.3330628903059623,6,10.0,1019.7,722,0,0,0,1
166,47.11,-122.57,2,13,10.47363,33.57224,2.225045084288535,8,10.0,1019.0,722,0,0,0,1
167,47.11,-122.57,2,14,12.06665,32.22527,2.1209505001862907,3,10.0,1018.3,722,0,0,0,1
168,47.11,-122.57,2,15,12.98828,31.60339,2.339866426766276,0,10.0,1017.6,722,0,0,0,1
169,47.11,-122.57,2,11,25.22583,26.40938,2.0996276738599886,6,10.0,1002.9,722,0,0,0,1
170,47.11,-122.57,2,12,32.09839,21.38657,2.3994277343427695,8,10.0,1003.2,19,0,0,0,1
171,47.11,-122.57,2,12,16.13159,31.55304,2.332152633061493,11,10.0,1003.5,722,0,0,0,1
172,47.11,-122.57,2,13,10.18066,37.35634,2.4990330671229004,7,10.0,1002.9,722,0,0,0,1
173,47.11,-122.57,2,14,18.55469,25.86304,1.8157005799994619,9,10.0,1003.2,35,0,0,0,1
174,47.11,-122.57,2,15,24.40796,19.33716,1.1187971958272074,9,10.0,1003.2,42,0,0,0,1
175,47.11,-122.57,2,11,16.1499,25.1606,1.9310053364303412,0,10.0,1015.3,722,0,0,0,1
176,47.11,-122.57,2,12,7.9895,32.21771,2.341716379071922,10,10.0,1015.6,722,0,0,0,1
177,47.11,-122.57,2,13,5.43823,36.11259,2.4357391644418858,6,10.0,1015.3,722,0,0,0,1
178,47.11,-122.57,2,14,3.49121,39.40071,2.438939497169198,6,10.0,1015.3,722,0,0,0,1
179,47.11,-122.57,2,15,3.44849,38.77632,2.3198560870367775,5,10.0,1015.0,722,0,0,0,1
180,47.11,-122.57,2,12,9.91821,34.12109,2.343440046971132,0,10.0,1014.6,722,0,0,0,1
181,47.11,-122.57,2,13,7.54395,36.14784,2.8241452944666796,0,10.0,1013.3,722,0,0,0,1
182,47.11,-122.57,2,14,7.99561,32.28569,2.450958545304616,0,10.0,1011.9,722,0,0,0,1
183,47.11,-122.57,2,15,3.68652,40.70488,2.431578831018235,0,10.0,1010.9,722,0,0,0,1
184,47.11,-122.57,2,12,90.91187,8.46825,0.604075500785212,3,10.0,1006.6,12,0,0,0,1
185,47.11,-122.57,2,12,87.78687,9.68933,0.9966386237434878,5,10.0,1006.6,9,0,0,0,1
186,47.11,-122.57,2,13,86.77979,9.69185,0.6231269958531356,5,10.0,1006.9,16,0,0,0,1
187,47.11,-122.57,2,14,84.60083,9.09767,0.6231269958531356,6,10.0,1007.6,38,0,0,0,1
188,47.11,-122.57,2,14,80.14526,9.70192,0.6601693400627392,9,10.0,1007.6,42,0,0,0,1
189,47.11,-122.57,2,15,80.68848,9.72961,0.6418170433884446,6,10.0,1007.6,18,0,0,0,1
190,47.11,-122.57,2,15,78.79639,10.39177,1.0133049135877001,6,10.0,1007.9,16,0,0,0,1
191,47.11,-122.57,2,15,75.28076,11.06903,0.8705399441171472,8,10.0,1007.9,70,0,0,0,1
192,47.11,-122.57,2,11,80.10254,8.42041,-0.34538180925115725,3,10.0,1019.7,7,0,0,0,1
193,47.11,-122.57,2,11,79.73022,8.41286,0.604075500785212,3,10.0,1019.7,9,0,0,0,1
194,47.11,-122.57,2,12,72.43652,10.93811,1.5581088279324071,3,10.0,1019.7,7,0,0,0,1
195,47.11,-122.57,2,12,57.48901,14.22623,1.4064253658668422,5,10.0,1019.7,9,0,0,0,1
196,47.11,-122.57,2,13,62.30469,12.88681,0.6782416429229652,7,10.0,1019.7,16,0,0,0,1
197,47.11,-122.57,2,13,46.76514,18.05817,1.9461958225324738,7,10.0,1019.3,45,0,0,0,1
198,47.11,-122.57,2,14,90.36865,11.01868,1.7708286057126832,7,10.0,1019.3,22,0,0,0,1
199,47.11,-122.57,2,14,85.49194,14.23882,1.7767981040878946,0,10.0,1019.0,65,0,0,0,1
200,47.11,-122.57,2,15,83.83789,12.2448,0.7303707083579118,3,10.0,1018.6,120,0,0,0,1
201,47.11,-122.57,2,12,96.85059,7.71042,0.5029789187396878,13,9.1,1012.9,11,0,0,0,1
202,47.11,-122.57,2,12,96.11816,7.82372,0.9568989435444851,14,10.0,1012.6,15,0,0,0,1
203,47.11,-122.57,2,12,95.88623,8.46069,1.3349642239483899,14,10.0,1012.6,30,0,0,0,1
204,47.11,-122.57,2,13,94.43359,9.08257,1.7662638676616451,15,10.0,1011.9,722,0,0,0,1
205,47.11,-122.57,2,13,93.26172,9.7699,1.7648215461469503,14,10.0,1011.6,28,0,0,0,1
206,47.11,-122.57,2,14,88.84277,10.32127,1.5728154209775995,15,10.0,1010.9,22,0,0,0,1
207,47.11,-122.57,2,14,90.75928,10.38673,1.5654881147668926,16,10.0,1010.9,13,0,0,0,1
208,47.11,-122.57,2,14,91.79688,10.27344,1.0223394106933883,11,10.0,1010.6,13,0,0,0,1
209,47.11,-122.57,2,15,93.58521,9.6843,1.009544252750107,14,10.0,1010.3,11,0,0,0,1
210,47.11,-122.57,2,15,94.73267,9.12537,0.5846595583748543,14,8.0,1009.9,10,0,0,0,1
211,47.11,-122.57,2,12,97.20459,10.34645,-0.14824482046400095,16,10.0,993.5,14,0,0,0,1
212,47.11,-122.57,2,13,98.05298,11.6909,1.512647237237113,16,10.0,993.5,19,0,0,0,1
213,47.11,-122.57,2,13,93.38379,13.50365,1.9309487839151531,17,10.0,993.5,722,0,0,0,1
214,47.11,-122.57,2,14,97.10693,8.98941,0.5648591602584144,21,10.0,993.5,20,0,0,0,1
215,47.11,-122.57,2,14,90.03906,14.82292,2.4876445649419785,24,10.0,993.5,722,0,0,0,1
216,47.11,-122.57,2,14,77.88086,14.87328,2.1980686654380475,18,10.0,993.1,29,0,0,0,1
217,47.11,-122.57,2,15,59.22852,20.71182,2.402283810881161,20,10.0,993.1,722,0,0,0,1
218,47.11,-122.57,2,15,62.07275,12.97493,0.6418170433884446,24,10.0,993.1,24,0,0,0,1
219,47.11,-122.57,2,15,54.55933,17.38091,2.0600063968537015,17,10.0,992.8,722,0,0,0,1
220,47.11,-122.57,2,11,77.06909,7.85141,0.4370219130123818,5,10.0,993.5,32,0,0,0,1
221,47.11,-122.57,2,12,75.3479,9.66667,1.2875618317522852,6,10.0,993.8,7,0,0,0,1
222,47.11,-122.57,2,12,75.177,9.06998,0.4814750798371784,7,10.0,994.1,7,0,0,0,1
223,47.11,-122.57,2,13,76.59912,7.80357,0.4814750798371784,11,10.0,994.5,8,0,0,0,1
224,47.11,-122.57,2,13,77.35596,7.73056,1.247896862467885,8,4.0,994.8,16,0,0,0,1
225,47.11,-122.57,2,13,75.61035,9.11278,1.715429029221234,9,4.0,994.8,12,0,0,0,1
226,47.11,-122.57,2,14,68.29834,12.35809,0.4814750798371784,9,5.0,994.8,10,0,0,0,1
